PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
10107,2019-01-02,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,98.94000,101.75000,101.12000,35347045,-0.004430,101.12000,101.13000,7683000,1,1,99.55000,239618,-0.004430,0.001796,0.001791,0.017126,0.017105,0.001269
10107,2019-01-03,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,97.20000,100.18500,97.40000,42570779,-0.036788,97.35000,97.38000,7683000,1,1,100.10000,302446,-0.036788,-0.021043,-0.021229,-0.009454,-0.009493,-0.024757
10107,2019-01-04,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,98.93000,102.51000,101.93000,44032862,0.046509,101.93000,101.94000,7683000,1,1,99.72000,301838,0.046509,0.033410,0.033409,0.030804,0.030780,0.034336
10107,2019-01-07,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,100.98000,103.26810,102.06000,35650303,0.001275,102.04000,102.06000,7683000,1,1,101.64000,240581,0.001275,0.009202,0.009196,0.016144,0.016133,0.007010
10107,2019-01-08,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,101.71340,103.97000,102.80000,31531077,0.007251,102.81000,102.82000,7683000,1,1,103.04000,224953,0.007251,0.010269,0.010248,0.010358,0.010339,0.009695
10107,2019-01-09,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,103.24450,104.88000,104.27000,32279340,0.014300,104.29000,104.31000,7683000,1,1,103.86000,233483,0.014300,0.006199,0.005958,0.010306,0.010264,0.004098
10107,2019-01-10,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,102.38000,103.75000,103.60000,30055256,-0.006426,103.56000,103.60000,7683000,1,1,103.22000,177689,-0.006426,0.004474,0.004468,0.002611,0.002573,0.004518
10107,2019-01-11,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,101.64000,103.44000,102.80000,28277502,-0.007722,102.76000,102.78000,7683000,1,1,103.19000,187594,-0.007722,-0.000152,-0.000163,0.001293,0.001246,-0.000146
10107,2019-01-14,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,101.26000,102.87160,102.05000,28416379,-0.007296,102.04000,102.06000,7683000,1,1,101.90000,149619,-0.007296,-0.005465,-0.005554,-0.005852,-0.005991,-0.005258
10107,2019-01-15,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,101.88000,105.05000,105.01000,31572516,0.029005,105.00000,105.02000,7683000,1,1,102.51000,208420,0.029005,0.009839,0.009811,0.006546,0.006491,0.010722
