datetime,QFIN,STAT,MATH,COMP,SOCI,SOTH
2026-01-01 09:30:00,4376.0,36.73,34.55,97.55,85.98,80.71
2026-01-01 09:35:00,4374.0,36.83,34.15,97.47,85.98,80.17
2026-01-01 09:40:00,4372.3,36.81,34.17,97.55,85.98,80.2
2026-01-01 09:45:00,4374.1,36.82,34.06,97.39,85.97,80.02
2026-01-01 09:50:00,4379.2,36.88,34.39,97.33,85.97,80.46
2026-01-01 09:55:00,4380.7,36.91,34.53,96.98,85.97,80.63
2026-01-01 10:00:00,4386.2,36.91,34.46,96.81,86.02,80.88
2026-01-01 10:05:00,4392.1,36.93,34.85,96.73,86.01,81.37
2026-01-01 10:10:00,4390.5,36.93,34.93,97.15,86.04,81.72
2026-01-01 10:15:00,4392.1,36.91,34.94,96.89,86.06,81.88
2026-01-01 10:20:00,4396.1,36.87,34.67,96.81,86.05,81.48
2026-01-01 10:25:00,4399.6,36.88,34.53,96.45,86.05,81.32
2026-01-01 10:30:00,4400.4,36.91,34.56,96.33,86.09,81.59
2026-01-01 10:35:00,4407.4,36.86,34.67,96.31,86.07,81.63
2026-01-01 10:40:00,4406.7,36.95,35.09,96.34,86.07,82.18
2026-01-01 10:45:00,4406.2,36.97,34.97,96.25,86.12,82.38
2026-01-01 10:50:00,4408.1,36.92,35.34,96.5,86.16,83.13
2026-01-01 10:55:00,4407.8,36.91,35.28,96.51,86.17,83.12
2026-01-01 11:00:00,4403.9,36.89,34.8,96.36,86.16,82.39
2026-01-01 11:05:00,4409.0,36.76,34.86,96.05,86.13,82.31
2026-01-01 11:10:00,4409.6,36.78,34.97,96.03,86.13,82.41
2026-01-01 11:15:00,4414.2,36.76,34.88,96.25,86.15,82.41
2026-01-01 11:20:00,4419.8,36.83,35.09,95.6,86.13,82.56
2026-01-01 11:25:00,4415.1,36.84,35.01,95.73,86.13,82.48
2026-01-01 11:30:00,4418.0,36.92,34.93,95.71,86.14,82.42
2026-01-01 11:35:00,4416.5,36.93,34.73,95.39,86.16,82.34
2026-01-01 11:40:00,4418.1,36.96,34.72,95.35,86.17,82.39
2026-01-01 11:45:00,4421.4,36.9,34.58,95.26,86.17,82.19
2026-01-01 11:50:00,4418.9,36.79,34.49,95.09,86.17,82.04
2026-01-01 11:55:00,4415.3,36.77,34.35,95.21,86.19,81.93
2026-01-01 12:00:00,4415.9,36.78,34.14,95.41,86.18,81.6
2026-01-01 13:00:00,4428.9,37.13,33.46,95.94,86.17,80.71
2026-01-01 13:05:00,4435.9,37.13,33.42,95.81,86.18,80.73
2026-01-01 13:10:00,4429.4,37.06,33.4,96.0,86.17,80.67
2026-01-01 13:15:00,4430.2,36.95,33.31,96.11,86.18,80.64
2026-01-01 13:20:00,4429.7,37.02,33.36,95.95,86.18,80.71
2026-01-01 13:25:00,4426.1,36.9,33.51,95.97,86.22,81.23
2026-01-01 13:30:00,4419.8,36.93,33.45,96.2,86.23,81.22
2026-01-01 13:35:00,4410.9,36.95,33.54,96.42,86.23,81.32
2026-01-01 13:40:00,4410.1,37.0,33.82,96.31,86.23,81.69
2026-01-01 13:45:00,4408.5,37.0,34.05,96.12,86.25,82.08
2026-01-01 13:50:00,4409.8,37.0,34.01,96.17,86.26,82.1
2026-01-01 13:55:00,4408.9,37.02,34.17,96.25,86.26,82.29
2026-01-01 14:00:00,4412.3,36.97,34.5,96.3,86.28,82.87
2026-01-01 14:05:00,4417.4,36.98,34.85,96.18,86.29,83.44
2026-01-01 14:10:00,4414.7,36.96,34.73,96.26,86.31,83.42
2026-01-01 14:15:00,4412.5,37.03,34.78,96.21,86.3,83.48
2026-01-01 14:20:00,4418.3,37.04,35.0,96.19,86.26,83.51
2026-01-01 14:25:00,4414.9,37.02,34.95,96.03,86.28,83.52
2026-01-01 14:30:00,4422.4,37.01,35.03,95.98,86.25,83.44
2026-01-01 14:35:00,4431.4,37.0,35.01,95.41,86.27,83.5
2026-01-01 14:40:00,4430.1,36.93,35.07,95.44,86.26,83.55
2026-01-01 14:45:00,4430.8,36.85,35.06,95.47,86.24,83.43
2026-01-01 14:50:00,4432.7,36.93,35.03,95.46,86.24,83.36
2026-01-01 14:55:00,4427.6,36.82,34.76,95.66,86.24,83.02
2026-01-01 15:00:00,4436.6,36.86,34.81,95.83,86.23,83.0
2026-01-01 15:05:00,4427.7,36.81,35.05,96.11,86.24,83.35
2026-01-01 15:10:00,4427.7,36.83,35.12,96.19,86.25,83.46
2026-01-01 15:15:00,4426.4,36.75,35.03,96.31,86.27,83.49
2026-01-01 15:20:00,4435.1,36.77,35.04,96.21,86.26,83.47
2026-01-01 15:25:00,4435.7,36.73,34.99,96.52,86.27,83.49
2026-01-01 15:30:00,4429.7,36.73,34.96,96.54,86.28,83.48
2026-01-01 15:35:00,4432.1,36.71,35.13,96.63,86.28,83.67
2026-01-01 15:40:00,4433.6,36.74,35.11,96.7,86.26,83.47
2026-01-01 15:45:00,4439.4,36.79,35.36,96.66,86.25,83.76
2026-01-01 15:50:00,4432.0,36.84,35.29,96.58,86.23,83.53
2026-01-01 15:55:00,4436.5,36.78,35.27,96.63,86.23,83.52
